Name,Extension,Duration,Size,CreationDate,Bitrate
Palavras do Fundador 3,.mp4,00h 01min 31s,38.34 MB,2023-06-05 22:49:32,3512 kb/s
Turmas de Agosto,.mp4,00h 01min 46s,26.58 MB,2023-06-05 22:49:33,2096 kb/s
